ftype,bid,bname,city
Italian,--AKjxBmhm9DWrh-e0hTOw,Grigio,Laval
Chinese,--BlvDO_RG2yElKu9XA1_g,"Asian Island",Scottsdale
"Japanese and Korean",--BlvDO_RG2yElKu9XA1_g,"Asian Island",Scottsdale
"Comfort Food",--jFTZmywe7StuZ2hEjxyA,Subway,"Las Vegas"
"American and British",--pOlFxITWnhzc7SHSIP0A,"Block & Grinder",Charlotte
Chinese,--qeSYxyn62mMjWvznNTdg,"Panda Express","Casa Grande"
"Comfort Food",--qeSYxyn62mMjWvznNTdg,"Panda Express","Casa Grande"
"American and British",--UE_y6auTgq3FXlvUMkbw,"Ritters Diner",Pittsburgh
"Comfort Food",--Y_2lDOtVDioX5bwF6GIw,"Buck & Badger",Madison
Chinese,--zgHBiQpr8H2ZqSdGmguQ,"China Star Buffet","Las Vegas"
"American and British",-0GkcDiIgVm0XzDZC8RFOg,"Crane Alley",Urbana
"Comfort Food",-0HGqwlfw3I8nkJyMHxAsQ,McDonald's,Phoenix
"American and British",-0xwm_AwS0d_5rwUprHGuw,"Cup O'Karma",Mesa
"American and British",-1bOb2izeJBZjHC7NWxiPA,"First Watch",Phoenix
"Comfort Food",-1BzcQK-HDA6LVOThHMpsw,"AJ's Pizzeria and Diner",Verona
"Comfort Food",-1ERbsOf9XOC9wGbZYFr7g,"Toros Cantina & Gaming","Las Vegas"
Halal,-1oj6-fkP-iO6OyW8QBqPg,"Jerusalem Middle Eastern Cuisine",Champaign
"Comfort Food",-1qDklczWpxON-3_Nj9NgA,Arby's,Tempe
Chinese,-23t2qOQWj8Kqp-Ijm1BQA,"Mandarin Gourmet",Pittsburgh
"Comfort Food",-27u-98Ugczq_xsNPdcvEg,IHOP,Henderson
French,-2b5uNj_OLmDrWYIQoSjWg,"Yola's Cajun Fried Chicken","San Tan Valley"
"Comfort Food",-2gyHPSL8pJjkSe5Ozzw6Q,Caldero,Scottsdale
Italian,-2n-OHbbwIv3SY8RP9bgTQ,"Maggiano's Little Italy","Las Vegas"
"Comfort Food",-2NCvK5807Nxs9GUb2Eo1g,"Juliana Pizza Family Restaurant",Charlotte
"Comfort Food",-347ffrUUMrn26J2VGf5bA,McDonald's,Henderson
"American and British",-36CwMJZJigqPMYrx9BJzw,"TGI Fridays","Las Vegas"
"Comfort Food",-3fmY6IhikhUQXpiaLgxHA,McDonald's,"Cottage Grove"
"Comfort Food",-3frEL8Vo8kyq4kfgTn0GA,Filiberto's,Chandler
"American and British",-3GT67Nuddlp4E_Udb3GKw,"Skully's Chicken and Fish",Urbana
"Comfort Food",-3Qu8aYgOleRw-OThNPovA,"Sole d' Oro",Karlsruhe
Italian,-3Qu8aYgOleRw-OThNPovA,"Sole d' Oro",Karlsruhe
"Comfort Food",-3rFL_inpK_lRLHpiEn1og,"Burger King",Peoria
"Comfort Food",-3sztqW_An5xm287fMrXyQ,"Rolbetos Mexican Food",Coolidge
Chinese,-3WVw1TNQbPBzaKCaQQ1AQ,"China Chili",Phoenix
"American and British",-4bNlx03GsXzgkHZwTrMaw,"Redbeard's On Sixth",Pittsburgh
"Comfort Food",-4BtfPW3_v092G8pqHrv4w,Wendy's,Chandler
